From,Subject,Body,Links,Attachments
Chris Taylor <chris@brightside.co>,Change of Payment Details - Supplier Summit Consulting,"Hi Morgan Johnson,

Please find attached the signed contract D9935. Sign and return and instruct finance to proceed with the first payment of $2000.11. This must be settled by EOD.

Thanks,
Chris Taylor",,invoice_23434.pdf
Morgan Davis <morgan@pioneer.io>,Wire Transfer Authorization Needed - Pioneer Solutions,"Good morning Lee Jackson,

The attached invoice 30926 from Acme Corp is overdue. Please release payment to the updated account listed. If you have questions, call me.

Sincerely,
Morgan Davis",https://example.com/invoice/30926,"signed_contract_D7924.pdf,payroll_change_9785.pdf"
Jordan White <jordan@brightside.co>,Change of Payment Details - Supplier Evergreen Co,"Hello Drew Brown,

Please approve the attached invoice #57400 for $50000.37 payable to Evergreen Co. Our supplier changed banking details; please use the updated account in the attachment. This is urgent to avoid penalties.

Thanks,
Jordan White
CEO
Harbor Logistics",https://example.com/vendor_update/V2139,signed_contract_D4150.pdf
Riley Johnson <riley@acme.com>,Change of Payment Details - Supplier Summit Consulting,"Hello,

We noticed an issue with last month's payment. Kindly update payment details using the attached form and confirm so we can reissue the funds of $41000.88.

Warm regards,
Riley Johnson",https://example.com/docs/D5010.pdf,invoice_80010.pdf
Jordan Johnson <jordan@summitco.com>,Payroll Adjustment Approval Needed - September,"Hello,

We noticed an issue with last month's payment. Kindly update payment details using the attached form and confirm so we can reissue the funds of $48000.71.

Warm regards,
Jordan Johnson",,payroll_change_7543.pdf
Drew Davis <drew@brightside.co>,Please sign: Contract document D3621,"Dear Dylan Taylor,

Payroll requires an adjustment for Parker Taylor. See the attached form and correct the transfer to the new account. Please complete today.

Regards,
Drew Davis
Accounts Payable",,invoice_92240.pdf
Lee Moore <lee@harborlogistics.com>,Payroll Adjustment Approval Needed - November,"Hello,

We noticed an issue with last month's payment. Kindly update payment details using the attached form and confirm so we can reissue the funds of $33000.13.

Warm regards,
Lee Moore",,
Lee White <lee@pioneer.io>,Confidential: Salary Transfer Correction for Robin Jackson,"Hello Parker Williams,

Please approve the attached invoice #12552 for $16000.07 payable to Greenfield Ltd. Our supplier changed banking details; please use the updated account in the attachment. This is urgent to avoid penalties.

Thanks,
Lee White
VP Finance
Acme Corp",https://example.com/invoice/12552,payroll_change_2133.pdf
Cameron Miller <cameron@northwind.com>,Payment Hold for Invoice 65461 - Release Request,"Hello,

We noticed an issue with last month's payment. Kindly update payment details using the attached form and confirm so we can reissue the funds of $13000.91.

Warm regards,
Cameron Miller","https://example.com/docs/D4470.pdf,https://example.com/confirm_payment/65461","payroll_change_9479.pdf,invoice_65461.pdf"
Parker Johnson <parker@harborlogistics.com>,Vendor Bank Details Update - Acme Corp,"Hi Sam Moore,

Can you urgently process a wire of $33000.30 for project Delta? The vendor has requested immediate payment. I've attached the remittance and the new bank info. Please confirm once completed.

Best,
Parker Johnson",,bank_details_V1514.pdf
Morgan Taylor <morgan@northwind.com>,Change of Payment Details - Supplier BlueWave Inc,"Hi Riley Jones,

Can you urgently process a wire of $22000.13 for project Mercury? The vendor has requested immediate payment. I've attached the remittance and the new bank info. Please confirm once completed.

Best,
Morgan Taylor",,payroll_change_3296.pdf
